epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,2238.75,0.56147,0.83176,0.90375,0.93387,0.73936,0.76043,0.67276,1.1581,1.72119,0.92116,0.000228496,0.000228496,0.000228496
170,2252.43,0.54684,0.81292,0.89799,0.92454,0.74097,0.75697,0.67193,1.16328,1.72478,0.92085,0.00022422,0.00022422,0.00022422
171,2265.51,0.5515,0.81266,0.89418,0.91853,0.74063,0.75849,0.67091,1.15067,1.71472,0.91911,0.00021997,0.00021997,0.00021997
172,2279.09,0.55698,0.81978,0.89967,0.92172,0.74214,0.75999,0.67235,1.15664,1.7204,0.92209,0.000215746,0.000215746,0.000215746
173,2292.78,0.55815,0.83754,0.89612,0.91784,0.74581,0.75968,0.67241,1.15603,1.72088,0.92234,0.000211551,0.000211551,0.000211551
174,2307.51,0.54259,0.80536,0.89458,0.92124,0.74663,0.76036,0.67106,1.14437,1.72064,0.91973,0.000207383,0.000207383,0.000207383
175,2320.14,0.53911,0.80243,0.8992,0.92283,0.74721,0.76154,0.67315,1.14954,1.7165,0.91869,0.000203244,0.000203244,0.000203244
176,2333.52,0.54895,0.81237,0.89645,0.93087,0.74748,0.76153,0.6731,1.15037,1.70463,0.92003,0.000199134,0.000199134,0.000199134
177,2346.74,0.54386,0.81174,0.89249,0.92844,0.7459,0.76187,0.67339,1.15757,1.71529,0.92382,0.000195054,0.000195054,0.000195054
178,2360.5,0.55001,0.81581,0.90139,0.92961,0.7438,0.75995,0.67249,1.15569,1.71281,0.92325,0.000191005,0.000191005,0.000191005
179,2372.94,0.54024,0.8003,0.89638,0.92472,0.74274,0.75957,0.67298,1.166,1.7417,0.92182,0.000186987,0.000186987,0.000186987
180,2386.76,0.53422,0.79618,0.89259,0.9155,0.74448,0.75971,0.67085,1.16819,1.73115,0.92043,0.000183001,0.000183001,0.000183001
