epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,2035.21,0.89972,1.24327,0.00568,0.93918,0.74562,0.76522,0.68192,1.35989,2.13126,0.0067,0.000214217,0.000214217,0.000214217
147,2050.64,0.91253,1.28434,0.00565,0.92744,0.74893,0.7664,0.6816,1.35257,2.13166,0.00666,0.000209274,0.000209274,0.000209274
148,2066.14,0.88984,1.22686,0.00564,0.89853,0.75239,0.76513,0.67978,1.35918,2.18462,0.0067,0.00020437,0.00020437,0.00020437
149,2079.67,0.87836,1.19761,0.00553,0.9303,0.7408,0.76403,0.67814,1.36976,2.18378,0.00672,0.000199507,0.000199507,0.000199507
150,2093.24,0.89877,1.25079,0.0056,0.91393,0.74973,0.76503,0.68157,1.3753,2.17996,0.00672,0.000194685,0.000194685,0.000194685
151,2110.21,0.91422,1.25661,0.00557,0.91416,0.75281,0.7677,0.6807,1.36782,2.13622,0.00671,0.000189906,0.000189906,0.000189906
152,2125.41,0.88694,1.2069,0.00559,0.92335,0.7506,0.76572,0.67957,1.36896,2.17342,0.00673,0.000185171,0.000185171,0.000185171
153,2139.87,0.88965,1.21125,0.00561,0.92851,0.74805,0.76654,0.68161,1.36141,2.16322,0.00669,0.00018048,0.00018048,0.00018048
154,2153.23,0.8742,1.19929,0.00546,0.92749,0.74999,0.76579,0.68243,1.36014,2.15809,0.00665,0.000175835,0.000175835,0.000175835
155,2166.96,0.88436,1.22571,0.00553,0.91691,0.74735,0.76505,0.68183,1.35872,2.19424,0.00666,0.000171237,0.000171237,0.000171237
156,2180.33,0.9024,1.22652,0.00547,0.91566,0.75292,0.76471,0.68164,1.36311,2.17617,0.00667,0.000166686,0.000166686,0.000166686
157,2194.08,0.90823,1.24286,0.00555,0.92244,0.74643,0.76491,0.68083,1.37239,2.16952,0.00666,0.000162183,0.000162183,0.000162183
158,2208.12,0.84944,1.15454,0.0054,0.92355,0.74392,0.76413,0.67989,1.36351,2.1571,0.00663,0.00015773,0.00015773,0.00015773
159,2221.45,0.88921,1.2278,0.00554,0.92289,0.74569,0.76315,0.67816,1.36909,2.1656,0.0067,0.000153327,0.000153327,0.000153327
160,2235.9,0.86489,1.19365,0.00543,0.9206,0.75082,0.76387,0.67784,1.36983,2.17054,0.00669,0.000148975,0.000148975,0.000148975
161,2249.61,0.88959,1.21345,0.00543,0.94446,0.73852,0.76426,0.6795,1.36757,2.16846,0.00669,0.000144675,0.000144675,0.000144675
162,2262.91,0.89641,1.24081,0.00544,0.93936,0.73839,0.76379,0.68006,1.37819,2.15469,0.00673,0.000140428,0.000140428,0.000140428
163,2276.34,0.88437,1.20376,0.00537,0.91318,0.74934,0.76464,0.68018,1.37458,2.17494,0.00667,0.000136235,0.000136235,0.000136235
164,2289.43,0.86975,1.20299,0.00535,0.94017,0.73825,0.76302,0.68013,1.37574,2.19892,0.00669,0.000132096,0.000132096,0.000132096
